start_date,age,gender,gender_spec,location,education,ccd01,ccd02,ccd03,ccd04,ccd05,ccd06,ccd07,ccd08,ccd09,ccd10,ccd11,ccd12,ccd13,ccd14,ccd15,ccd16,ccd17,ccd18,trust01,trust02,trust03,trust04,trust05,trust06,trust07,trust08,trust09,trust10,trust11,trust12,trust13,trust14,asc01,asc02,asc03,asc04,asc05,asc06,asc07,asc08,asc09,asc10,asc11,asc12,asc13,asc14,asc15,asc16,asc17,asc18,sdo01,sdo02,sdo03,sdo04,sdo05,sdo06,sdo07,sdo08,lib_cons,cons01,cons02,cons03,cons04,cons05,cons06,cons07,cons08,cons09,cons10,cons11,cons12,cons13,cons14,cons15,feedback
21/08/2018 19:13,59,1,NA,3,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,5,6,5,6,5,6,5,6,6,6,5,5,6,2,2,5,6,1,6,6,6,3,4,4,2,1,1,4,4,2,4,4,2,4,2,4,4,NA
21/08/2018 19:40,27,2,NA,8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,5,4,3,4,3,4,3,4,3,4,3,4,5,6,7,6,6,7,7,6,6,7,6,7,7,6,7,6,6,7,6,6,7,6,7,6,7,6,7,2,4,5,4,4,5,4,5,4,4,5,4,5,4,5,4,VERY NICE
21/08/2018 19:42,27,2,NA,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,2,3,4,3,3,2,3,3,2,3,7,6,6,7,6,6,7,6,7,6,6,7,6,7,6,6,7,6,6,7,6,7,6,7,6,6,6,4,5,4,4,5,4,5,4,4,5,5,4,5,4,4,very nice
21/08/2018 19:39,32,1,NA,3,5,1,2,2,2,1,2,2,2,2,2,1,2,2,1,1,2,2,2,3,2,2,2,2,3,2,3,3,3,4,4,2,2,2,3,2,5,4,4,5,3,4,5,3,5,3,5,2,4,3,5,3,5,5,5,6,3,5,5,4,2,4,3,4,3,3,4,3,3,3,4,2,3,2,3,NA
21/08/2018 19:39,70,1,NA,8,6,1,2,2,2,1,2,2,2,2,2,1,1,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,3,5,6,6,3,5,5,5,6,5,6,3,3,3,5,2,2,6,6,2,2,6,6,3,2,2,1,2,1,1,1,1,2,2,2,2,1,2,2,none.
21/08/2018 19:41,32,2,NA,6,4,2,2,2,2,1,2,2,2,2,2,1,2,2,1,1,2,2,2,1,1,1,2,1,2,3,2,1,1,1,1,2,3,2,2,5,2,3,5,5,3,6,5,5,5,1,1,7,6,7,2,1,1,7,7,1,1,7,7,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,NA
21/08/2018 19:41,35,1,NA,8,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,1,2,2,2,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,2,6,3,5,6,7,1,1,6,6,3,1,1,7,7,7,1,1,1,7,7,1,1,7,7,2,4,3,2,2,1,3,2,5,1,1,2,2,1,4,4,NA
21/08/2018 19:41,57,2,NA,10,5,2,2,2,2,1,2,2,2,2,1,1,2,2,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,2,4,3,3,5,3,5,5,3,4,5,4,4,3,3,3,5,1,1,7,7,1,1,7,7,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,4,NA
21/08/2018 19:40,49,1,NA,4,5,1,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,2,6,6,4,4,6,4,5,6,5,5,3,3,3,4,4,3,5,6,3,3,5,6,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA
21/08/2018 19:47,48,2,NA,3,5,2,2,2,2,1,1,1,2,1,2,2,1,1,2,2,2,1,2,2,2,1,2,2,2,2,3,2,3,3,3,3,3,3,3,6,4,6,6,3,4,4,3,4,4,4,3,5,4,2,4,1,1,6,7,3,3,5,5,4,1,2,1,2,2,1,1,1,1,2,2,1,1,3,4,NA
21/08/2018 20:12,30,2,NA,9,5,2,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,2,5,2,3,4,2,5,3,5,3,2,3,4,3,4,6,4,7,5,6,4,6,5,6,3,6,5,6,5,6,3,6,5,6,4,5,3,6,5,6,7,6,4,3,4,3,4,4,3,5,4,5,4,3,4,4,3,nice
21/08/2018 20:11,29,1,NA,1,4,2,2,2,2,1,2,2,2,2,2,1,2,2,1,1,2,2,2,3,2,2,3,2,2,1,2,2,2,2,1,1,2,3,3,5,2,6,5,6,2,2,5,6,4,4,2,4,2,6,3,6,5,1,1,1,6,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
21/08/2018 20:13,30,2,NA,NA,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,6,5,7,7,3,5,3,3,6,5,5,3,6,6,3,5,5,4,5,6,2,2,6,6,3,1,4,1,1,1,3,3,4,1,1,1,3,1,4,5,NA
21/08/2018 20:13,28,1,NA,10,4,2,2,2,1,1,2,2,2,2,2,1,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,6,4,6,6,6,3,4,4,5,5,6,5,5,5,4,4,4,3,5,5,3,6,3,5,2,1,1,2,2,2,1,1,2,1,3,2,1,2,2,3,NA
21/08/2018 20:17,56,2,NA,8,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,3,4,3,3,5,4,5,5,4,5,4,4,4,4,4,4,6,6,5,4,5,5,4,4,5,5,4,4,3,2,2,2,2,2,2,2,3,2,2,3,3,3,4,5,thanx
21/08/2018 20:13,25,1,NA,8,2,2,1,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,3,3,1,2,1,1,1,2,2,2,4,4,5,4,6,6,3,4,3,5,4,4,2,2,6,4,3,4,3,2,6,6,2,3,3,5,4,3,3,2,2,2,3,2,2,2,2,2,2,3,2,2,NA
21/08/2018 20:20,30,2,NA,3,5,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,3,4,2,2,2,2,2,2,3,3,3,3,3,3,5,5,4,5,5,5,5,6,6,6,5,5,5,5,4,5,5,5,5,5,4,5,5,5,6,6,2,3,4,4,3,3,4,4,4,3,3,3,3,4,4,4,no comments
21/08/2018 20:12,30,1,NA,7,2,2,2,2,2,1,2,2,2,2,1,1,2,2,1,1,2,2,2,3,2,1,2,1,2,4,4,4,3,4,4,4,3,2,2,2,2,6,6,6,2,2,6,6,4,2,2,4,4,3,5,1,1,7,7,1,1,7,7,3,5,5,4,5,5,5,5,5,5,5,5,5,3,5,5,Enjoyed
21/08/2018 20:44,28,1,NA,4,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,7,2,7,7,6,4,4,4,6,4,6,2,2,6,4,2,1,1,7,7,2,1,7,7,1,4,3,2,2,2,4,2,3,4,4,5,3,3,4,5,NA
21/08/2018 20:44,49,1,NA,3,6,2,2,1,1,2,1,1,1,1,2,2,1,1,2,2,1,1,1,2,1,1,2,2,2,4,2,4,2,4,2,2,4,2,2,6,3,6,6,2,6,6,2,4,6,1,1,6,7,5,4,1,1,7,4,4,4,4,4,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
21/08/2018 20:45,34,1,NA,3,2,2,2,2,2,1,2,1,2,2,2,1,2,2,1,1,2,2,2,4,4,4,4,3,4,3,4,5,3,5,4,3,4,1,1,1,1,7,1,3,3,5,3,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,5,3,3,3,3,3,3,3,3,3,3,3,NA,3,3,3,NA
21/08/2018 20:44,59,1,NA,8,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,4,4,5,5,4,5,3,5,4,2,3,4,3,2,6,6,6,2,1,1,7,7,1,1,7,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,NA
21/08/2018 20:44,29,1,NA,7,4,2,2,2,2,1,2,2,2,2,1,1,2,2,1,1,2,2,2,3,2,2,2,2,3,3,3,2,2,2,2,2,2,5,5,3,5,3,4,3,5,5,3,3,5,3,3,5,4,5,3,4,3,5,5,3,3,5,5,5,2,2,2,2,3,2,2,2,2,3,2,2,3,3,2,NA
21/08/2018 21:01,28,2,NA,5,6,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,4,4,3,5,6,6,6,6,6,6,1,1,6,6,1,1,6,6,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA
21/08/2018 20:58,42,2,NA,7,5,2,1,1,2,1,1,1,2,1,2,1,2,1,2,2,1,1,2,3,3,3,3,4,4,4,4,3,3,4,4,4,4,3,3,5,5,5,5,5,3,4,3,3,4,3,3,3,3,2,3,2,1,6,6,5,5,5,5,5,4,4,3,4,4,2,3,3,3,3,4,3,3,3,3,NA
21/08/2018 20:58,29,1,NA,3,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,2,2,2,4,4,6,3,7,7,4,5,5,4,6,7,6,5,5,6,5,6,1,1,7,7,1,2,7,7,4,2,2,1,2,2,2,2,2,2,4,3,2,2,2,4,NA
21/08/2018 21:19,34,1,NA,8,5,2,2,2,2,1,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,1,3,2,1,2,2,3,2,1,1,2,3,3,3,6,2,6,6,5,3,3,6,6,4,2,2,7,7,7,4,1,1,7,7,4,5,5,4,2,4,3,1,1,1,4,3,1,1,2,4,4,1,5,4,NA
21/08/2018 21:17,32,1,NA,6,5,2,2,2,2,1,2,2,2,2,2,1,2,2,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,1,2,4,4,6,4,5,6,6,3,4,5,6,5,1,1,6,6,6,2,1,1,7,6,2,2,7,7,1,4,2,1,1,1,1,1,1,1,3,2,1,1,2,5,NA
21/08/2018 21:18,46,1,NA,4,4,1,1,1,1,2,2,1,1,1,2,2,1,1,2,2,1,1,1,3,2,2,3,2,2,3,4,4,3,3,3,2,2,4,5,4,3,5,6,3,5,4,2,4,5,4,4,4,2,2,6,2,1,7,7,6,2,6,6,3,4,1,1,1,3,5,4,2,1,3,5,2,3,1,3,NA
21/08/2018 21:20,30,1,NA,4,4,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,4,6,3,6,6,5,4,4,5,5,5,4,4,3,3,3,5,2,2,6,6,2,3,5,5,4,1,2,1,2,1,1,1,1,1,2,2,1,1,2,5,NA
21/08/2018 21:18,42,2,NA,2,5,2,2,2,2,1,2,2,2,2,2,1,2,2,1,1,2,2,2,4,4,3,3,4,4,6,5,5,5,5,5,5,5,4,3,5,3,5,5,3,4,4,3,4,4,5,4,4,4,4,4,2,2,6,6,2,2,6,6,3,3,4,4,4,4,4,4,3,4,4,4,4,3,4,4,None
21/08/2018 21:24,54,2,NA,8,6,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,1,2,4,4,6,5,4,5,4,4,4,4,5,4,2,2,7,5,4,1,1,1,7,7,1,1,7,7,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,"Yes, though human activity is largely responsible for global warming, it would be wrong to say ALL.  There are likely other culprits in the model.
Also, the materials in vaccinations are dangerous.  The idea is that the amount is so small - that it is not dangerous in those quantities (your statement just wanted to know if the ingredients were safe or not).  Those substances are not 'safe' -but, rather, safe in those quantities.
Moreover, I used to live with an old Army guy who was in special forces.  He did something that were pretty terrible around the world.  Our government really does do some thing that we don't hear about.  I don't believe in conspiracy theories, but he was in charge (really, in charge) of that whole guns/drugs thing in Central America (remember Reagan).  Plus a few more things.......so, we're not always perfect out there (in the world). 

Good luck with your research!"
21/08/2018 21:43,65,2,NA,1,4,2,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,1,2,2,2,3,3,3,5,5,6,5,5,4,5,5,5,2,1,6,1,6,5,3,5,3,3,3,5,2,1,6,7,6,2,3,1,5,7,5,3,6,6,6,4,4,1,4,4,4,4,1,4,4,4,4,2,4,5,"Climate change seems normal. We cannot expect the climate to accommodate us. It does what it wants to do. Now I think environmentalists made laws to not allow the woods and forests of California to be cleared and cleaned as they ought to have been. So now we have fires from that dry, dead flesh of the forests. That is our fault. Think how the earth would be without humans to clear that brush away at all. Would it burn as hell fire forever? Or just burn itself out and start anew as the Phoenix?"
21/08/2018 21:58,35,1,NA,8,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,4,2,4,3,4,3,2,4,3,5,4,3,2,6,5,7,6,5,6,6,5,4,5,7,7,6,5,4,7,6,5,6,5,4,5,6,7,6,5,6,4,3,4,5,4,4,3,4,5,4,4,3,3,5,4,GOOD
21/08/2018 21:59,36,1,NA,5,7,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,6,6,4,4,6,6,1,1,7,7,1,1,7,7,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA
21/08/2018 22:02,28,2,NA,3,5,2,1,1,1,2,2,1,2,1,1,1,2,2,1,2,1,1,1,2,4,1,6,7,6,3,6,7,5,1,2,4,2,2,3,7,7,1,4,5,4,3,5,5,2,2,7,5,6,5,4,4,4,2,5,4,7,6,2,6,1,2,1,3,3,1,4,5,4,1,3,1,1,2,1,it was good
21/08/2018 21:58,28,1,NA,5,4,2,2,2,2,1,1,2,2,2,2,1,2,2,1,2,2,2,2,1,1,1,1,2,1,3,4,4,4,3,3,2,2,4,4,7,3,7,7,7,2,2,7,7,4,4,4,7,6,6,4,1,1,7,7,1,1,7,7,2,3,3,2,3,3,2,2,3,3,4,3,2,3,4,5,very interesting
21/08/2018 22:04,27,2,NA,9,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,3,3,2,3,3,3,3,3,2,3,3,6,5,6,5,6,5,6,5,6,5,6,5,5,6,5,5,6,5,4,5,4,5,4,5,4,5,2,4,3,4,3,4,4,3,4,3,4,4,3,4,3,4,it's very nice
21/08/2018 21:25,46,2,NA,2,6,1,1,1,1,2,1,1,2,1,2,2,1,2,2,2,1,1,2,2,2,1,1,3,2,3,2,3,3,2,2,2,3,4,4,4,5,4,5,3,5,5,3,3,5,5,5,4,4,3,7,5,5,5,5,5,6,5,7,5,2,2,1,1,2,2,2,1,2,3,2,2,1,2,4,Thank you.
21/08/2018 22:04,35,2,NA,3,5,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,4,5,3,5,4,3,4,5,5,3,5,NA,3,4,2,2,5,5,2,2,5,5,3,4,4,4,3,3,3,4,3,3,NA,4,3,3,3,3,NA
21/08/2018 21:59,34,2,NA,4,5,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,1,1,1,2,1,1,2,2,2,2,3,2,2,3,5,5,3,5,3,2,2,6,5,2,2,6,5,5,6,4,5,3,2,2,6,7,2,2,6,7,5,2,2,2,2,2,2,1,1,1,3,2,2,2,2,4,NA
21/08/2018 22:24,39,1,NA,6,5,2,2,1,2,1,2,2,2,2,1,1,2,2,2,1,2,2,2,5,4,3,2,2,4,3,6,6,5,5,5,2,4,1,1,1,1,5,4,7,5,6,6,5,4,7,5,4,7,7,6,1,1,6,6,3,2,7,7,1,4,4,5,4,5,4,4,5,5,4,4,3,3,5,4,No further comments. Thanks!
21/08/2018 22:30,35,1,NA,5,5,1,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2,3,3,3,3,3,3,4,4,5,4,5,5,3,5,4,3,4,4,4,4,4,4,4,4,3,3,5,5,4,3,4,5,3,2,4,2,2,2,3,2,4,2,4,4,2,4,2,4,NA
21/08/2018 22:37,27,2,NA,2,6,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,NA,1,1,1,1,2,1,2,7,6,7,6,6,7,7,6,7,7,7,7,7,7,7,6,7,7,7,7,7,6,7,7,7,7,1,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,good
21/08/2018 22:41,34,1,NA,8,6,2,2,2,2,1,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,1,1,2,1,1,2,1,1,2,2,1,5,6,3,5,5,7,3,5,6,5,5,5,2,1,2,3,5,3,1,2,7,6,1,1,6,7,4,1,2,1,1,2,1,1,1,2,1,2,1,2,1,3,NA
21/08/2018 22:44,25,2,NA,3,5,2,1,1,1,2,1,1,1,1,2,2,1,1,1,2,1,1,1,4,3,3,6,2,5,5,5,5,5,5,5,5,5,2,2,6,2,6,5,6,5,3,6,6,2,6,5,5,5,5,5,5,6,4,3,4,3,4,4,3,4,4,4,3,4,4,4,5,4,4,4,4,5,4,4,NA
21/08/2018 23:01,32,1,NA,7,5,2,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,3,2,4,5,4,1,3,5,6,6,6,2,6,5,4,5,6,5,6,5,6,5,4,3,6,5,4,3,4,5,6,5,4,5,6,5,4,3,2,4,3,2,3,3,4,3,2,3,4,4,3,2,3,4,nothing
21/08/2018 22:57,42,2,NA,9,5,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,4,4,4,3,4,3,4,3,3,6,3,6,6,5,3,3,5,5,3,3,3,3,6,3,5,1,1,7,7,2,2,6,6,5,4,4,3,4,4,2,4,3,2,2,4,4,2,2,4,NA
21/08/2018 23:08,51,1,NA,8,2,1,1,1,1,2,1,1,1,1,2,2,1,1,1,2,1,1,2,3,3,2,6,4,5,3,4,4,4,3,4,3,4,2,3,5,3,5,7,1,5,2,1,1,4,5,2,4,4,3,5,1,1,6,6,1,1,6,6,7,3,5,1,2,5,4,5,3,1,4,5,5,3,4,5,NA
21/08/2018 23:26,25,2,NA,6,5,2,1,1,2,2,1,1,2,1,2,2,1,1,2,1,1,1,1,2,2,3,3,3,2,2,3,2,3,3,2,3,3,5,5,5,4,5,4,4,5,5,5,3,5,2,2,2,4,1,4,1,1,7,7,1,1,7,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,none
21/08/2018 23:29,32,1,NA,5,5,1,1,1,2,1,1,1,2,2,1,1,1,2,1,1,1,1,2,1,2,2,1,2,2,2,2,2,2,2,1,2,1,5,5,4,4,3,4,3,4,3,3,5,4,3,4,4,4,3,5,5,4,3,5,5,3,4,4,2,4,3,3,4,3,2,3,2,3,3,2,3,4,3,3,NA
21/08/2018 23:29,28,2,NA,8,6,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,6,5,4,7,6,3,2,7,7,4,3,1,6,6,6,3,1,1,7,7,2,1,7,7,2,1,1,1,1,1,1,1,2,1,3,2,1,2,2,3,NA
21/08/2018 23:29,32,2,NA,7,5,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,1,2,3,2,1,2,5,3,5,5,3,5,6,6,3,5,5,3,3,3,6,6,6,2,2,2,6,5,2,2,5,5,1,1,1,1,1,2,2,1,1,1,2,3,1,1,3,4,NA
21/08/2018 23:29,33,2,NA,3,5,2,2,2,2,1,2,2,2,2,1,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,3,3,2,2,2,3,3,3,6,5,5,7,5,4,3,5,6,4,3,2,1,6,6,1,1,1,7,7,7,1,7,7,1,1,2,1,2,2,1,1,2,1,4,2,2,1,2,5,NA
21/08/2018 23:32,44,2,NA,1,4,2,2,2,2,1,2,2,2,2,2,1,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,6,3,6,3,3,5,5,5,3,3,3,2,5,3,2,7,7,2,2,6,6,2,1,1,1,1,1,1,3,4,1,3,2,2,2,1,4,NA
21/08/2018 23:31,30,1,NA,9,5,1,1,2,2,1,2,1,1,2,2,2,1,2,1,1,2,1,1,2,1,3,1,3,2,2,1,3,2,3,1,2,1,6,5,7,6,6,5,7,5,6,5,7,6,7,5,6,5,7,6,7,5,5,6,7,5,6,5,6,4,5,4,4,5,5,4,5,5,4,4,5,4,5,4,good
21/08/2018 23:30,45,2,NA,4,2,2,2,2,2,1,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,1,2,2,2,3,4,4,4,4,4,3,3,1,1,6,2,6,7,5,4,2,5,4,5,3,3,5,7,6,2,3,5,6,4,3,3,5,5,3,4,4,2,3,4,3,4,2,3,3,4,4,2,4,5,"On the page that asked questions about vaccinations, I left two answers blank because they specifically asked about my children (have I refused to give my child vaccines, etc.) I don't have children. I answered the other questions as if I did. 

Also, there were five or six questions that asked specifically about scientists mentioned on a page of their own. I really felt they should have been separate because I could not group the two different types of scientists so gave the questions a neutral rating. I do trust environmental scientists and would have rated them with a high amount of trust. However, i have zero trust for scientists  that focus on vaccinations and would have rated them very low.

Lastly, there were questions that asked about medications and how they affect me. I wish these questions had an N/A answer available. I haven't had so much as an aspirin, allergy pill or anything else in the 15 years I've been a vegan, so i really couldn't answer those. I have no idea how my body would react to medications."
21/08/2018 23:34,52,1,NA,5,6,2,2,1,2,1,2,2,2,2,1,1,2,2,1,1,2,2,2,4,1,1,6,1,2,7,7,7,7,7,7,7,7,1,1,7,1,7,7,4,3,3,3,3,3,1,1,7,7,7,1,1,1,7,7,1,1,7,7,4,5,5,1,5,5,5,5,1,5,5,5,5,1,5,5,It is prudent to question authority and to maintain skepticism about any government-advocated story or explanation.
21/08/2018 23:41,31,2,NA,4,4,2,2,2,2,1,1,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,5,5,5,5,4,5,4,4,4,5,5,5,5,4,5,5,4,4,4,4,4,4,4,4,2,1,3,3,2,3,3,2,3,3,2,3,3,3,3,2,NA
22/08/2018 0:01,30,2,NA,3,5,2,2,2,2,1,2,2,2,2,2,1,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,1,6,6,4,4,4,4,4,4,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
22/08/2018 0:04,36,2,NA,5,5,2,1,1,1,1,2,1,1,1,2,2,1,2,2,2,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,3,5,3,5,5,3,5,5,3,3,3,4,3,5,5,5,5,5,4,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,NA
22/08/2018 0:08,30,1,NA,2,5,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,2,2,1,1,3,2,2,2,6,2,6,6,5,3,2,6,2,3,2,2,6,6,2,2,1,1,6,6,6,1,6,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
22/08/2018 0:02,25,1,NA,1,5,2,2,1,2,1,2,2,2,2,1,1,2,2,1,2,1,2,2,2,2,1,1,2,1,4,2,2,2,3,2,1,3,3,2,6,3,6,6,6,4,4,3,6,6,6,6,2,5,2,6,3,6,7,3,7,6,2,2,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,Great study!
